predictor,response,len,spearman,p-value-spearman,pearson,p-value-pearson,F-statistic,p-value-chi2,what
AR,RL,136,0.08027138966179491,0.3529011246208259,-0.028139609941645084,0.7450321189098553,23.183570397856112,0.005796945698374759,9.0
AR,RK,133,0.07630909458049516,0.3826596993402164,-0.09642366263063198,0.2695540511170704,30.276539888304598,0.00039362462456053916,9.0
AR,RM,135,0.06292325091423322,0.4684382127467903,0.0033598184245976458,0.9691497756488876,13.659259710809849,0.13497273300944265,9.0
AR,RF,135,0.008939877858412798,0.9180358725428567,-0.014207419270589411,0.8700865754252427,9.923634430942428,0.6226601607750346,12.0
AR,RP,124,0.47087387055433017,3.409111502290218e-08,0.5155438454437364,8.945634174114253e-10,93.0514800332591,3.968194661376203e-16,9.0
AR,RS,136,0.40923946704047975,7.542236763851939e-07,0.4491365758844702,4.145987149440374e-08,42.43478665549749,1.508823041772954e-07,6.0
AR,RT,135,0.1507703456412894,0.08089864448418548,0.12472767402326965,0.14948202546151865,23.293081628046487,0.005570594357630213,9.0
AR,RW,134,0.12674274709257388,0.1444825758796672,0.08392853735236849,0.3349740352492004,16.464246228713968,0.057797411611101086,9.0
AR,RY,133,-0.05805403764831364,0.506848945428787,-0.09900060587719442,0.2569031545795556,27.04725121858116,0.0013738139168951136,9.0
AR,RV,132,0.13049044525602446,0.13587066016281704,0.06120407606183803,0.48571070822305223,18.823466292482614,0.02673647032349943,9.0
AR,NA,214,-0.25265835130449804,0.00018755909584457442,-0.21272883293758899,0.0017502781265038533,57.50529812277245,4.043830008259645e-09,9.0
AR,NR,218,-0.2237300566653559,0.0008790843596809252,-0.2978516385185992,7.661973550748139e-06,79.9855110305321,4.153655302628142e-12,12.0
AR,ND,220,0.1039545850895163,0.12422479750846739,0.09187004057632828,0.1745387925077222,24.63943355700524,0.0033970256134648077,9.0
AR,NC,161,-0.18286711211913412,0.020240589483064276,-0.1900630688809554,0.015739804924397017,17.32477571761174,0.043866378111853524,9.0
AR,NE,219,-0.2064872213212294,0.002130483830293051,-0.16114996824095024,0.016996903086965047,32.1348062770523,0.00018872086504851545,9.0
AR,NQ,219,-0.30572321044344775,4.0415055922453585e-06,-0.29851107954636247,6.950648693218838e-06,36.25010909708808,3.5792647407378885e-05,9.0
AR,NG,218,0.1552535381988932,0.021846062809762326,0.09885696643332734,0.1457301813255336,16.20798533232547,0.18189460216480283,12.0
AR,NH,214,-0.2546890998944644,0.0001657133620807063,-0.18759515927852985,0.0059108060377672895,33.19604398826979,0.00012345155711918825,9.0
AR,NI,215,-0.3778430537169298,1.055992667605295e-08,-0.3415470986432504,2.835013053464381e-07,83.67592327721556,2.99791454805026e-14,9.0
AR,NL,218,-0.36078233273307403,4.205133393191935e-08,-0.32840557395577064,7.078139059550108e-07,78.22556838596827,3.635701692302546e-13,9.0
AR,NK,219,-0.19747657270941332,0.0033396077219258933,-0.28071188965389565,2.4927745491044642e-05,72.48675412446575,4.944628285671984e-12,9.0
AR,NM,218,-0.27327014534348215,4.3192571833409626e-05,-0.2542527780409207,0.00014766234142689794,59.80352480133562,1.4627736964521293e-09,9.0
AR,NF,212,-0.23779783783882227,0.00047915590887271536,-0.24193157346986272,0.0003784058697892453,82.56232052241054,4.9977752908503576e-14,9.0
AR,NP,205,0.344989554902102,4.0694549080835766e-07,0.3125644381692344,5.0495788079901085e-06,30.529673821813752,0.0003563425045096596,9.0
AR,NS,214,-0.12702579893676294,0.06361556432103921,-0.17157091102559247,0.01194264852969031,28.256217339536526,0.0008642188786108335,9.0
AR,NT,218,-0.2968216938314206,8.264761640916642e-06,-0.3590994851648005,4.908668140425402e-08,30.732116390069166,0.0003290354582085903,9.0
AR,NW,207,-0.09060564128882552,0.19416143183630896,-0.1655558919982316,0.017126279854652583,41.29532950551849,4.373262534254504e-05,12.0
AR,NY,220,-0.2562348147752445,0.00012139755571756469,-0.27444840881368815,3.674263824858331e-05,77.87608649172694,4.264340824402656e-13,9.0
AR,NV,220,-0.3428158188324169,1.8411927597313487e-07,-0.3602455800300107,3.828166154509228e-08,51.19142833731257,6.425390219856377e-08,9.0
AR,DA,231,-0.10500330581545159,0.11146164233427278,-0.07049108202178798,0.28602264973698616,43.29296087832674,2.014052030623164e-05,12.0
AR,DR,228,-0.03130160490843304,0.6382397841545151,-0.046930474968910264,0.480730346304668,13.238314181144789,0.1521159686204268,9.0
AR,DN,234,0.1031560080312319,0.11554885163640118,0.040107818869407175,0.5415360273208824,48.53019323671497,2.526712681715384e-06,12.0
AR,DC,183,-0.11966801210382294,0.10662507976858908,-0.08557223562007972,0.24941080336921626,12.474959168953522,0.187837748527021,9.0
AR,DE,234,-0.19380573118026356,0.0029102753017112948,-0.1499961166416784,0.021720948455289314,18.46931759870749,0.030102935626803294,9.0
AR,DQ,234,-0.08667142999535747,0.1864328017045617,-0.1021436924977486,0.11918371259934958,26.628739868217057,0.001610773360806908,9.0
AR,DG,232,0.04088864969200498,0.5354601569403183,0.0423168145819684,0.5212911188482183,24.474616900146806,0.003610775897540112,9.0
AR,DH,234,-0.05851097839838761,0.372920330677055,-0.07362601119266335,0.2619673234578384,46.17277178698802,6.4785669210635985e-06,12.0
