predictor,response,len,spearman,p-value-spearman,pearson,p-value-pearson,F-statistic,p-value-chi2,what
AR,AW,335,0.34589513029431296,7.551575383595662e-11,0.39609936238772375,4.956802887222323e-14,63.474404522394934,2.854522794451254e-10,9.0
AR,AY,335,0.4255940865229823,3.5973448038989175e-16,0.42717032255217735,2.726673364810124e-16,98.89414784783335,2.633002246427672e-17,9.0
AR,AV,355,0.16363124422508415,0.0019811165798636456,0.22329135041955095,2.1759857564836298e-05,56.98278325052659,7.960985356003421e-08,12.0
AR,RA,12,0.08626814042605525,0.7897920793523635,0.10727721073444853,0.7400067555139234,7.166666666666668,0.1273384472897361,4.0
AR,RN,12,0.49824252531782925,0.09922950342849662,0.38840633607836045,0.2121362943236129,6.0,0.1991482734714558,4.0
AR,RD,12,0.27641016422225867,0.38447267580807987,0.2880784720727152,0.363871696820063,4.2857142857142865,0.3687173791533594,4.0
AR,RC,12,0.33274854164335593,0.2905908454352637,0.31950623725769345,0.31137384499436616,6.095238095238095,0.19214783508103678,4.0
AR,RE,12,0.2693678670446215,0.397189418880058,0.17776448360563957,0.5804484223682029,9.666666666666668,0.1394095721280393,6.0
AR,RQ,12,0.19894489526824988,0.5353426646111262,0.25574765346529404,0.422376946158739,1.8809523809523807,0.7576431454860121,4.0
AR,RG,12,0.4876790795513735,0.10776611877960897,0.45981265274496763,0.13258378987117392,5.0,0.5438131158833297,6.0
AR,RH,12,0.3890869190644532,0.2112666156513456,0.4183111445694351,0.17596240656635792,4.285714285714286,0.36871737915335956,4.0
AR,RI,12,0.09331043760369241,0.7730138566383278,0.11843137377319296,0.7139299862227338,7.166666666666668,0.1273384472897361,4.0
AR,RL,12,0.34331198740981167,0.27459090541694436,0.2557455492513616,0.4223808969294711,5.791666666666668,0.21525633022699864,4.0
AR,RK,12,0.08626814042605525,0.7897920793523635,0.007354061222055057,0.9819034199294769,2.181818181818182,0.3359109812391624,2.0
AR,RM,12,0.4912002281401921,0.1048683281050505,0.34752880022006394,0.268348294502605,1.0909090909090908,0.5795782787848095,2.0
AR,RF,12,0.3468331359986303,0.26937247198102765,0.2684296139112833,0.3988995859042574,6.0,0.1991482734714558,4.0
AR,RP,12,0.31866394728808156,0.31272288489642497,0.23851230720008695,0.45533940217948843,6.4,0.17120125670913808,4.0
AR,RS,12,0.5228905654395594,0.08110151221832432,0.4067692139488024,0.18943031997162246,4.285714285714286,0.36871737915335956,4.0
